RENCANA ANGGARAN BIAYA (RAB) - RUN-MADAN 2026
Tanggal: Minggu 8 Februari 2026
Lokasi: Masjid Al Muhajirin REWWIN

Kategori,No,Uraian,Qty,Satuan,Harga Satuan,Total

A. PERLENGKAPAN PESERTA FUN RUN/WALK,,,,,,
,1,Jersey/Kaos Run-Madan,100,pcs,65000,6500000
,2,BIB Number (Nomor Dada),100,pcs,3000,300000
,3,Medali Finisher,100,pcs,15000,1500000
,4,Goodybag (tas kain),100,pcs,10000,1000000
,5,Air Mineral 600ml (racepack),100,botol,3000,300000
,6,Snack Box Peserta,100,box,15000,1500000
,SUBTOTAL A,,,,,11100000

B. PERLENGKAPAN PESERTA SENAM,,,,,,
,1,Air Mineral 600ml,100,botol,3000,300000
,2,Snack Ringan,100,pcs,5000,500000
,SUBTOTAL B,,,,,800000

C. PERSONIL & HONORARIUM,,,,,,
,1,Instruktur Senam,1,orang,300000,300000
,2,MC / Pembawa Acara,1,orang,500000,500000
,3,Tim Patrol AN-NUR (keamanan),1,paket,1000000,1000000
,4,Petugas Marshal (10 orang),10,orang,50000,500000
,5,Dokumentasi (Foto & Video),1,paket,500000,500000
,6,Tim Medis/P3K,1,paket,300000,300000
,SUBTOTAL C,,,,,3100000

D. KONSUMSI PANITIA & PETUGAS,,,,,,
,1,Sarapan Panitia & Petugas,30,porsi,15000,450000
,2,Snack Panitia & Petugas,30,pcs,10000,300000
,3,Air Mineral Galon,5,galon,20000,100000
,SUBTOTAL D,,,,,850000

E. PERLENGKAPAN & DEKORASI,,,,,,
,1,Backdrop Panggung (3x2m),1,unit,500000,500000
,2,X-Banner (60x160cm),4,unit,100000,400000
,3,Spanduk/Banner Rute,5,pcs,75000,375000
,4,Umbul-umbul,20,pcs,25000,500000
,5,Balon Gate Start/Finish,1,set,1500000,1500000
,6,Cone Pembatas Jalan,30,pcs,15000,450000
,7,Police Line / Pita Pembatas,3,roll,50000,150000
,8,Tenda 3x3m (sewa),4,unit,150000,600000
,9,Meja & Kursi (sewa),1,set,200000,200000
,SUBTOTAL E,,,,,4675000

F. SOUND SYSTEM & TEKNIS,,,,,,
,1,Sound System (sewa),1,set,1000000,1000000
,2,Genset (jika diperlukan),1,unit,500000,500000
,3,HT / Walkie Talkie (sewa),5,unit,50000,250000
,SUBTOTAL F,,,,,1750000

G. DOORPRIZE & HADIAH,,,,,,
,1,Doorprize Utama (TV/HP),1,unit,1500000,1500000
,2,Doorprize Sedang,5,unit,200000,1000000
,3,Doorprize Kecil,10,unit,100000,1000000
,SUBTOTAL G,,,,,3500000

H. OPERASIONAL & LAIN-LAIN,,,,,,
,1,Cetak Sertifikat Peserta,100,lembar,2000,200000
,2,Cetak Sertifikat Sponsor,10,lembar,10000,100000
,3,ATK & Perlengkapan Registrasi,1,paket,200000,200000
,4,Perlengkapan P3K,1,paket,300000,300000
,5,Kantong Sampah & Kebersihan,1,paket,100000,100000
,6,Transport & Operasional,1,paket,500000,500000
,7,Biaya Tak Terduga (5%),1,paket,1350000,1350000
,SUBTOTAL H,,,,,2750000

REKAPITULASI,,,,,,
,A,Perlengkapan Peserta Fun Run/Walk,,,,11100000
,B,Perlengkapan Peserta Senam,,,,800000
,C,Personil & Honorarium,,,,3100000
,D,Konsumsi Panitia & Petugas,,,,850000
,E,Perlengkapan & Dekorasi,,,,4675000
,F,Sound System & Teknis,,,,1750000
,G,Doorprize & Hadiah,,,,3500000
,H,Operasional & Lain-lain,,,,2750000
,TOTAL ANGGARAN,,,,,28525000

RENCANA SUMBER DANA,,,,,,
,1,Biaya Pendaftaran Peserta Fun Run (100 x Rp 100.000),,,,10000000
,2,Sponsorship Jersey (Logo 10x10cm),,,,2000000
,3,Sponsorship Backdrop + MC Mention,,,,1500000
,4,Sponsorship Umbul-umbul (4 tiang),,,,1000000
,5,Sponsor Produk (estimasi nilai),,,,2000000
,6,Dana Kas Panitia Ramadhan,,,,12025000
,TOTAL SUMBER DANA,,,,,28525000
