IDUR,NO,BIDANG,KODE,KATEGORI,KETERANGAN,TOTAL,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER
1,1,SEKRETARIAT,OT-01-01,ATK & Perlengkapan Kantor,ATK Fotocopy Kesekretariatan dan Unit,6.000.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000
1,2,SEKRETARIAT,OT-01-02,ATK & Perlengkapan Kantor,Inventarisasi dan Appraisal Aset,2.000.000,,,,,,,,2.000.000,,,,
1,3,SEKRETARIAT,OT-01-03,Konsumsi & Rapat,Konsumsi Rapat Pembina,2.800.000,,400.000,400.000,400.000,,400.000,,400.000,,400.000,,400.000
1,4,SEKRETARIAT,OT-01-04,Konsumsi & Rapat,Konsumsi Rapat Pengawas,3.600.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000
1,5,SEKRETARIAT,OT-01-05,Konsumsi & Rapat,Konsumsi Rapat Pengurus,2.400.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000
1,6,SEKRETARIAT,OT-01-06,Konsumsi & Rapat,Biaya Rapat Gabungan,8.000.000,,,,2.000.000,,,,2.000.000,,,2.000.000,2.000.000
1,7,SEKRETARIAT,OT-01-07,Konsumsi & Rapat,Konsumsi Harian ,5.500.000,500.000,,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000
1,8,SEKRETARIAT,OT-01-08,Kompensasi Pengurus,Transport Pengurus,36.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000
1,9,SEKRETARIAT,OT-01-09,Kompensasi Pengurus,Kinerja Pengurus,30.000.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000
1,10,SEKRETARIAT,OT-01-10,Kompensasi Pengurus,Lemburan Pekerjaan Kesekretariatan ,3.840.000,,,,,960.000,,960.000,,,960.000,,960.000
1,11,SEKRETARIAT,OT-01-11,Transport Unit,Transport Unit Bidang,12.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000
1,12,SEKRETARIAT,OT-01-12,Gaji Staff,THR staff sekretariatan,400.000,,,,400.000,,,,,,,,
1,13,SEKRETARIAT,OT-01-13,Gaji Staff,THR staff keuangan,400.000,,,,400.000,,,,,,,,
