IDUR,NO,BIDANG,KODE,KATEGORI,KETERANGAN,TOTAL,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER

8,1,KETAKMIRAN,OT-08-01,Alokasi Operasional,Alokasi Operasional Sekretariat,120.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000
8,2,KETAKMIRAN,OT-08-02,ATK & Percetakan,Fotocopy / percetakan / ATK,1.800.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000
8,3,KETAKMIRAN,OT-08-03,Gaji & Honor,Gaji Marbot dan Muadzin,48.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000
8,4,KETAKMIRAN,OT-08-04,Gaji & Honor,Gaji Petugas Kebersihan,6.000.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000
8,5,KETAKMIRAN,OT-08-05,Pengajian Rutin,Pengajian Ahad ba'da Magrib,15.300.000,1.500.000,1.200.000,1.200.000,1.200.000,1.200.000,1.500.000,1.200.000,1.200.000,1.200.000,1.200.000,1.200.000,1.500.000
8,6,KETAKMIRAN,OT-08-06,Pengajian Rutin,Pengajian Ahad Subuh,16.500.000,1.600.000,1.300.000,1.300.000,1.300.000,1.300.000,1.600.000,1.300.000,1.300.000,1.300.000,1.300.000,1.300.000,1.600.000
8,7,KETAKMIRAN,OT-08-07,Pengajian Rutin,Pengajian Rabu Maghrib,6.000.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000
8,8,KETAKMIRAN,OT-08-08,Pengajian Rutin,"Pengajian Kamis, Subuh",12.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000
8,9,KETAKMIRAN,OT-08-09,Pengajian Rutin,Pengajian Selasa ba'da Magrib,9.000.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000
8,10,KETAKMIRAN,OT-08-10,Pengajian Rutin,Pengajian Nur Muhajirin,4.000.000,800.000,,,,800.000,,800.000,,800.000,,800.000,
8,11,KETAKMIRAN,OT-08-11,Pengajian Rutin,Pengajian Riyadush S & Siroh N,9.600.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000
8,12,KETAKMIRAN,OT-08-12,Program Hari Besar Islam,Peringatan Isra Mi’raj,0,,0,0,,,,,,,,,
8,13,KETAKMIRAN,OT-08-13,Program Hari Besar Islam,Project Rangkaian Program Ramadhan,32.500.000,,,,32.500.000,,,,,,,,
8,14,KETAKMIRAN,OT-08-14,Program Hari Besar Islam,Halal Bihalal Syawal,3.500.000,,,,3.500.000,,,,,,,,
8,15,KETAKMIRAN,OT-08-15,Program Hari Besar Islam,Rangkaian Idul Adha (Sholat Idul Adha),2.500.000,,,,,,2.500.000,,,,,,
8,16,KETAKMIRAN,OT-08-16,Program Hari Besar Islam,Peringatan Maulid,0,,,,,,,,,0,,,
8,17,KETAKMIRAN,OT-08-17,Program Hari Besar Islam,Peringatan Tahun Baru Hijriyah,0,,,,,,,0,,,,,
8,18,KETAKMIRAN,OT-08-18,Program Hari Besar Islam,Kegiatan Sholat Gerhana,1.500.000,500.000,500.000,500.000,,,,,,,,,
8,19,KETAKMIRAN,OT-08-19,Kajian Akbar,Kajian Akbar/Tematik Narasumber Regional,1.500.000,,,,,,1.500.000,,,,,,
8,20,KETAKMIRAN,OT-08-20,Kajian Akbar,Kajian Akbar/Tematik Narasumber Nasional,2.500.000,,,,,,,,2.500.000,,,,
8,21,KETAKMIRAN,OT-08-21,Kegiatan Sosial,Kegiatan Sosial Komunitas,0,,,,,,,,,,,,
8,22,KETAKMIRAN,OT-08-22,Konsumsi & Katering,Nasi bungkus jumat berkah,153.000.000,15.000.000,12.000.000,12.000.000,15.000.000,15.000.000,12.000.000,12.000.000,12.000.000,12.000.000,12.000.000,12.000.000,12.000.000
8,23,KETAKMIRAN,OT-08-23,Konsumsi & Katering,Pengajian Ahad ke 5 + Konsumsi,3.000.000,1.000.000,,,,,1.000.000,,,,,,1.000.000
8,24,KETAKMIRAN,OT-08-24,Konsumsi & Katering,Konsumsi kajian dan takjil,24.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000
8,25,KETAKMIRAN,OT-08-25,Konsumsi & Katering,Makanan minuman tamu,2.400.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000
